seq_beneficiario;dt_inicio_direito;des_categoria;desc_entidade;val_redutor_teto;municipio;uf;dt_requerimento;dt_doc_completa;dt_deferimento;mes_deferimento;dias_uteis_concessao;;;;;;
189169;12/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;BELO HORIZONTE;MG;26/12/2024;17/01/2025;20/01/2025;Janeiro;2;;;;;;
189172;28/09/2024;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;31394,35;BELO HORIZONTE;MG;12/12/2024;17/01/2025;20/01/2025;Janeiro;2;;;;;;
189173;21/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;2161,39;NOVA ERA;MG;15/01/2025;17/01/2025;21/01/2025;Janeiro;3;;;;;;
189175;26/12/2024;CONJUGE;SEC DE PLANEJAMENTO E GESTAO;3858,76;ALVINOPOLIS;MG;09/01/2025;17/01/2025;20/01/2025;Janeiro;2;;;;;;
189176;20/01/2025;COMPANHEIRO(A);PREFEITURA MUNICIPAL DE CORONEL FABRICIANO;1518;CORONEL FABRICIANO;MG;14/11/2024;26/12/2024;20/01/2025;Janeiro;18;;;;;;
189177;06/09/2024;CONJUGE;SECRETARIA DA FAZENDA;34642,79;UNAI;MG;18/10/2024;02/12/2024;21/01/2025;Janeiro;37;;;;;;
189178;08/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;2385,78;UBERLANDIA;MG;15/01/2025;17/01/2025;20/01/2025;Janeiro;2;;;;;;
189179;08/01/2025;CONJUGE;SECRETARIA DE EDUCACAO;2091,73;CRUCILANDIA;MG;16/01/2025;20/01/2025;21/01/2025;Janeiro;2;;;;;;
189180;24/12/2024;CONJUGE;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;30512,19;BELO HORIZONTE;MG;08/01/2025;20/01/2025;24/01/2025;Janeiro;5;;;;;;
189182;15/01/2025;CONJUGE;FHEMIG FUND HOSPITALAR EST MG;2396,99;BARBACENA;MG;15/01/2025;17/01/2025;24/01/2025;Janeiro;6;;;;;;
189183;12/11/2024;PAI OU MAE;SECRETARIA DE EDUCACAO;1518;NOVA PONTE;MG;12/11/2024;12/11/2024;24/01/2025;Janeiro;54;;;;;;
